date,"('ICLN', 'ICLN')","('XLE', 'XLE')","('VIX', '^VIX')","('Brent', 'BZ=F')","('SP500', '^GSPC')",dgs10,carbon_eua,"('ICLN', 'ICLN')_ret","('XLE', 'XLE')_ret","('Brent', 'BZ=F')_ret",carbon_eua_ret,"('SP500', '^GSPC')_ret",dgs10_diff,carbon_shock_resid,carbon_shock,icln_vol,xle_vol
2010-01-04,16.418560028076172,35.64532470703125,20.040000915527344,80.12000274658203,1132.989990234375,3.85,12.91,,,,,,,,0,,
2010-01-05,16.858016967773438,35.93624496459961,19.350000381469727,80.58999633789062,1136.52001953125,3.77,12.52,0.0264139241271704,0.0081284012262257,0.0058489818167098,-0.0306748391865987,0.0031108319667597,-0.08,-0.0311257262169022,0,,
2010-01-06,17.002111434936523,36.3665771484375,19.15999984741211,81.88999938964844,1137.1400146484375,3.85,12.22,0.0085112103124327,0.0119037473981407,0.0160023489336058,-0.0242534119285031,0.0005453718878234,0.08,-0.0254734182425734,0,,
2010-01-07,17.03812599182129,36.31203079223633,19.059999465942383,81.51000213623047,1141.68994140625,3.85,12.57,0.0021159999485934,-0.0015010294772619,-0.0046511375142199,0.0282390688587068,0.0039932183546542,0.0,0.0264461412051657,0,,
2010-01-08,17.189424514770508,36.54840850830078,18.1299991607666,81.37000274658203,1144.97998046875,3.83,12.82,0.008840802579423,0.006488529238771,-0.0017190498517673,0.019693428890368,0.0028775830750962,-0.02,0.018298320999553,0,,
2010-01-11,17.297483444213867,36.49993515014648,17.549999237060547,80.97000122070312,1146.97998046875,3.85,13.0,0.0062666843433159,-0.0013271585046699,-0.0049279576887839,0.0139429059690126,0.0017452316285846,0.02,0.0156904311657581,0,,
2010-01-12,16.77877426147461,35.97261047363281,18.25,79.30000305175781,1136.219970703125,3.74,12.71,-0.0304463744871718,-0.0145526551698623,-0.0208405636495088,-0.0225602722601739,-0.0094254464389445,-0.1099999999999998,-0.0201026257474823,0,,
2010-01-13,16.894041061401367,36.105953216552734,17.850000381469727,78.30999755859375,1145.6800537109375,3.8,12.94,0.0068463090509522,0.0036999320799258,-0.0125628895378356,0.0179342038713917,0.0082914563333604,0.0599999999999996,0.0159428971724173,0,,
2010-01-14,16.44017219543457,36.2090072631836,17.6299991607666,77.81999969482422,1148.4599609375,3.76,13.44,-0.0272330960859494,0.0028501465176521,-0.0062768139518232,0.0379120460222489,0.0024234864214141,-0.04,0.0368673126759357,0,,
2010-01-15,16.00792121887207,35.918060302734375,17.90999984741211,77.11000061035156,1136.030029296875,3.7,13.23,-0.0266441878385256,-0.0080676658110159,-0.0091654818746425,-0.015748356968139,-0.0108821263012085,-0.0599999999999996,-0.0163432340095215,0,,
2010-01-19,15.90705394744873,36.24535751342773,17.579999923706055,77.62999725341797,1150.22998046875,3.73,13.63,-0.0063210205708119,0.0090710630088522,0.0067209332769626,0.0297862675815768,0.012422151207737,0.0299999999999998,0.0319390964665805,0,0.019024070264289025,0.008212341111103796
2010-01-20,15.273085594177246,35.68166732788086,18.68000030517578,76.31999969482422,1138.0400390625,3.68,13.21,-0.0406704874855134,-0.0156742678426056,-0.0170188918957713,-0.0312991271742072,-0.0106543866018613,-0.0499999999999998,-0.0314862111885177,0,0.019261238071366628,0.009483359978196026
2010-01-21,14.963296890258787,34.95435333251953,22.270000457763672,74.58000183105469,1116.47998046875,3.62,13.07,-0.0204918392221433,-0.0205940168681179,-0.0230626238391709,-0.0106545908981034,-0.0191266572729878,-0.06,-0.0138665091901588,0,0.018347256427869538,0.01021982418294402
2010-01-22,14.408568382263184,34.12397384643555,27.309999465942383,72.83000183105469,1091.760009765625,3.62,12.97,-0.0377772724611307,-0.024042837174504,-0.0237444159309125,-0.007680529307778,-0.0223897796301089,0.0,-0.0067847448602653,0,0.019072734597118772,0.011955620009050514
2010-01-25,14.588672637939451,34.34825134277344,25.40999984741211,73.69000244140625,1096.780029296875,3.66,13.28,0.0124223247030828,0.0065509277019549,0.0117391545383618,0.0236201457199351,0.004587559053796,0.04,0.019707106623516,0,0.01963236820469134,0.01196300083347252
2010-01-26,14.588672637939451,34.13004684448242,24.549999237060547,73.29000091552734,1092.1700439453125,3.65,13.46,0.0,-0.006372974872175,-0.0054429514800707,0.0134631801682941,-0.0042120578477855,-0.0100000000000002,0.0152371044400192,0,0.018915196289683012,0.011840009784539725
